Release,version,Action,Method,Old class,New class (– if none)
rel_1_16,v1beta2,DELETED,deleteCollectionNamespacedDeployment,Deployment,--
rel_1_16,v1beta2,DELETED,createNamespacedDeployment,Deployment,--
rel_1_16,v1beta2,DELETED,deleteNamespacedDeployment,Deployment,--
rel_1_16,v1beta2,DELETED,readNamespacedDeployment,Deployment,--
rel_1_16,v1beta2,DELETED,patchNamespacedDeployment,Deployment,--
rel_1_16,v1beta2,DELETED,replaceNamespacedDeployment,Deployment,--
rel_1_16,v1beta2,DELETED,replaceNamespacedDeploymentStatus,Deployment,--
rel_1_16,v1beta2,DELETED,deleteCollectionNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta2,DELETED,createNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta2,DELETED,deleteNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta2,DELETED,readNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta2,DELETED,patchNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta2,DELETED,replaceNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta2,DELETED,replaceNamespacedDaemonSetStatus,DaemonSet,--
rel_1_16,v1beta2,DELETED,readNamespacedDeploymentScale,Scale,--
rel_1_16,v1beta2,DELETED,patchNamespacedDeploymentScale,Scale,--
rel_1_16,v1beta2,DELETED,replaceNamespacedDeploymentScale,Scale,--
rel_1_16,v1beta2,DELETED,readNamespacedReplicaSetScale,Scale,--
rel_1_16,v1beta2,DELETED,patchNamespacedReplicaSetScale,Scale,--
rel_1_16,v1beta2,DELETED,replaceNamespacedReplicaSetScale,Scale,--
rel_1_16,v1beta2,DELETED,readNamespacedStatefulSetScale,Scale,--
rel_1_16,v1beta2,DELETED,patchNamespacedStatefulSetScale,Scale,--
rel_1_16,v1beta2,DELETED,replaceNamespacedStatefulSetScale,Scale,--
rel_1_16,v1beta2,DELETED,deleteCollectionNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta2,DELETED,createNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta2,DELETED,deleteNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta2,DELETED,readNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta2,DELETED,patchNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta2,DELETED,replaceNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta2,DELETED,listNamespacedStatefulSet,StatefulSetList,--
rel_1_16,v1beta2,DELETED,listStatefulSetForAllNamespaces,StatefulSetList,--
rel_1_16,v1beta2,DELETED,listDeploymentForAllNamespaces,DeploymentList,--
rel_1_16,v1beta2,DELETED,listNamespacedDeployment,DeploymentList,--
rel_1_16,v1beta2,DELETED,listControllerRevisionForAllNamespaces,ControllerRevisionList,--
rel_1_16,v1beta2,DELETED,listNamespacedControllerRevision,ControllerRevisionList,--
rel_1_16,v1beta2,DELETED,listDaemonSetForAllNamespaces,DaemonSetList,--
rel_1_16,v1beta2,DELETED,listNamespacedDaemonSet,DaemonSetList,--
rel_1_17,v1beta1,DELETED,createSelfSubjectRulesReview,SelfSubjectRulesReview,--
rel_1_17,v1beta1,DELETED,deleteCollectionNamespacedStatefulSet,StatefulSet,--
rel_1_17,v1beta1,DELETED,createNamespacedStatefulSet,StatefulSet,--
rel_1_17,v1beta1,DELETED,deleteNamespacedStatefulSet,StatefulSet,--
rel_1_17,v1beta1,DELETED,readNamespacedStatefulSet,StatefulSet,--
rel_1_17,v1beta1,DELETED,patchNamespacedStatefulSet,StatefulSet,--
rel_1_17,v1beta1,DELETED,replaceNamespacedStatefulSet,StatefulSet,--
rel_1_17,v1beta1,DELETED,replaceNamespacedStatefulSetStatus,StatefulSet,--
rel_1_17,v1beta1,DELETED,deleteCollectionValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_17,v1beta1,DELETED,createValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_17,v1beta1,DELETED,deleteValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_17,v1beta1,DELETED,readValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_17,v1beta1,DELETED,patchValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_17,v1beta1,DELETED,replaceValidatingWebhookConfiguration,ValidatingWebhookConfiguration,--
rel_1_17,v1beta1,DELETED,deleteCollectionStorageClass,StorageClass,--
rel_1_17,v1beta1,DELETED,createStorageClass,StorageClass,--
rel_1_17,v1beta1,DELETED,deleteStorageClass,StorageClass,--
rel_1_17,v1beta1,DELETED,readStorageClass,StorageClass,--
rel_1_17,v1beta1,DELETED,patchStorageClass,StorageClass,--
rel_1_17,v1beta1,DELETED,replaceStorageClass,StorageClass,--
rel_1_17,v1beta1,DELETED,deleteCollectionClusterRole,ClusterRole,--
rel_1_17,v1beta1,DELETED,createClusterRole,ClusterRole,--
rel_1_17,v1beta1,DELETED,deleteClusterRole,ClusterRole,--
rel_1_17,v1beta1,DELETED,readClusterRole,ClusterRole,--
rel_1_17,v1beta1,DELETED,patchClusterRole,ClusterRole,--
rel_1_17,v1beta1,DELETED,replaceClusterRole,ClusterRole,--
rel_1_17,v1beta1,DELETED,listClusterRole,ClusterRoleList,--
rel_1_17,v1beta1,DELETED,deleteCollectionNamespacedRoleBinding,RoleBinding,--
rel_1_17,v1beta1,DELETED,createNamespacedRoleBinding,RoleBinding,--
rel_1_17,v1beta1,DELETED,deleteNamespacedRoleBinding,RoleBinding,--
rel_1_17,v1beta1,DELETED,readNamespacedRoleBinding,RoleBinding,--
rel_1_17,v1beta1,DELETED,patchNamespacedRoleBinding,RoleBinding,--
rel_1_17,v1beta1,DELETED,replaceNamespacedRoleBinding,RoleBinding,--
rel_1_17,v1beta1,DELETED,listNamespacedRoleBinding,RoleBindingList,--
rel_1_17,v1beta1,DELETED,listRoleBindingForAllNamespaces,RoleBindingList,--
rel_1_17,v1beta1,DELETED,deleteCollectionAPIService,APIService,--
rel_1_17,v1beta1,DELETED,createAPIService,APIService,--
rel_1_17,v1beta1,DELETED,deleteAPIService,APIService,--
rel_1_17,v1beta1,DELETED,readAPIService,APIService,--
rel_1_17,v1beta1,DELETED,patchAPIService,APIService,--
rel_1_17,v1beta1,DELETED,replaceAPIService,APIService,--
rel_1_17,v1beta1,DELETED,replaceAPIServiceStatus,APIService,--
rel_1_17,v1beta1,DELETED,listAPIService,APIServiceList,--
rel_1_17,v1beta1,DELETED,deleteCollectionClusterRoleBinding,ClusterRoleBinding,--
rel_1_17,v1beta1,DELETED,createClusterRoleBinding,ClusterRoleBinding,--
rel_1_17,v1beta1,DELETED,deleteClusterRoleBinding,ClusterRoleBinding,--
rel_1_17,v1beta1,DELETED,readClusterRoleBinding,ClusterRoleBinding,--
rel_1_17,v1beta1,DELETED,patchClusterRoleBinding,ClusterRoleBinding,--
rel_1_17,v1beta1,DELETED,replaceClusterRoleBinding,ClusterRoleBinding,--
rel_1_17,v1beta1,DELETED,createNamespacedLocalSubjectAccessReview,LocalSubjectAccessReview,--
rel_1_17,v1beta1,DELETED,deleteCollectionNamespacedLease,Lease,--
rel_1_17,v1beta1,DELETED,createNamespacedLease,Lease,--
rel_1_17,v1beta1,DELETED,deleteNamespacedLease,Lease,--
rel_1_17,v1beta1,DELETED,readNamespacedLease,Lease,--
rel_1_17,v1beta1,DELETED,patchNamespacedLease,Lease,--
rel_1_17,v1beta1,DELETED,replaceNamespacedLease,Lease,--
rel_1_17,v1beta1,DELETED,listLeaseForAllNamespaces,LeaseList,--
